Practice_trials.thisRepN,Practice_trials.thisTrialN,Practice_trials.thisN,Practice_trials.thisIndex,A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,A2_Blocks.thisRepN,A2_Blocks.thisTrialN,A2_Blocks.thisN,A2_Blocks.thisIndex,A2_trials.thisRepN,A2_trials.thisTrialN,A2_trials.thisN,A2_trials.thisIndex,keyPressRun_5.keys,keyPressRun_5.rt,keyPressRun_6.keys,keyPressRun_6.rt,keyPressRun_7.keys,keyPressRun_7.rt,keyPressTrial_3.keys,keyPressRun_3.keys,keyPressRun_3.rt,keyPressRun_9.keys,keyPressRun_9.rt,keyPressRun_4.keys,keyPressRun_4.rt,keyPressRun_12.keys,keyPressRun_12.rt,keyPressTrial.keys,keyPressTrial.rt,keyPressRun_15.keys,keyPressRun_15.rt,keyPressTrial_2.keys,keyPressTrial_2.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,1,0,1,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,a,0.5332561999999825,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,1,0,1,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,a,0.5984538999999813,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,a,0.7055239000000029,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,l,0.7483440999999402,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,l,0.4486466000000746,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,a,0.6146626999999398,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,a,0.7304156999999805,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,l,0.6979412000000593,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,2,0,2,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,2,0,2,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,a,0.5989607000000206,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,2,0,2,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,l,0.7506036999999424,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
