A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,A2_Blocks.thisRepN,A2_Blocks.thisTrialN,A2_Blocks.thisN,A2_Blocks.thisIndex,A2_trials.thisRepN,A2_trials.thisTrialN,A2_trials.thisN,A2_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.rt,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,polygon_end.started,polygon_end.stopped,end_text.started,end_text.stopped,polygon_15.started,polygon_15.stopped,descriptionText_15.started,descriptionText_15.stopped,keyPressRun_15.keys,keyPressRun_15.rt,keyPressRun_15.started,keyPressRun_15.stopped,blackProc_2.started,blackProc_2.stopped,greenProc_2.started,greenProc_2.stopped,ProcTarget_2.started,ProcTarget_2.stopped,ProcPicture_2.started,ProcPicture_2.stopped,blackWaitInterTrial_3.started,blackWaitInterTrial_3.stopped,whiteWaitInterTrial_3.started,whiteWaitInterTrial_3.stopped,blackTrial_2.started,blackTrial_2.stopped,whiteTrial_2.started,whiteTrial_2.stopped,TrialPicture_2.started,TrialPicture_2.stopped,keyPressTrial_2.keys,keyPressTrial_2.rt,keyPressTrial_2.started,keyPressTrial_2.stopped,green_2.started,green_2.stopped,red_2.started,red_2.stopped,blackWaitInterTrial_4.started,blackWaitInterTrial_4.stopped,whiteWaitInterTrial_4.started,whiteWaitInterTrial_4.stopped,green_fb_2.started,green_fb_2.stopped,red_fb_2.started,red_fb_2.stopped,fixation_2.started,fixation_2.stopped,fixationImage_2.started,fixationImage_2.stopped,polygon_end_2.started,polygon_end_2.stopped,end_text_2.started,end_text_2.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,Audiovisual Cue,date,Experiment Mode,frameRate,
0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.1651850999915,None,69.1651850999915,None,69.1651850999915,None,a,0.047238700004527345,0.012051359983161092,1.0082429599715397,69.1651850999915,None,69.1651850999915,None,70.16615149998688,None,70.16615149998688,None,70.16615149998688,None,70.16615149998688,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1814,intro,59.94621626046529,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.86770669999532,None,71.86770669999532,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1814,intro,59.94621626046529,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.86945009999909,None,73.86945009999909,None,75.92121259999112,None,75.92121259999112,None,space,1.2681587999977637,0.012260080024134368,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1814,intro,59.94621626046529,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,77.18886809999822,None,77.18886809999822,None,77.18886809999822,78.18980659998488,78.17308139998931,79.17398839999805,79.17398839999805,80.17494209998404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.20818989997497,None,80.20818989997497,None,80.20818989997497,None,80.20818989997497,None,83.71128969997517,None,83.71128969997517,None,85.22925689999829,None,85.22925689999829,None,85.22925689999829,None,a,0.28276570001617074,0.015607519977493212,1.0152966199675575,85.22925689999829,None,85.22925689999829,None,86.23011350000161,None,86.23011350000161,None,86.23011350000161,None,86.23011350000161,None,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1814,intro,59.94621626046529,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.04844239997328,None,88.04844239997328,None,88.04844239997328,None,l,0.059714000002713874,0.011179660010384396,1.02311835999717,88.04844239997328,None,88.04844239997328,None,89.04929709999124,None,89.04929709999124,None,89.04929709999124,None,89.04929709999124,None,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1814,intro,59.94621626046529,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.86755969998194,None,90.86755969998194,None,90.86755969998194,None,l,0.3772082999930717,0.011722959985490888,1.0243511599837802,90.86755969998194,None,90.86755969998194,None,91.86848639999516,None,91.86848639999516,None,91.86848639999516,None,91.86848639999516,None,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1814,intro,59.94621626046529,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.58655639999779,None,93.58655639999779,None,93.58655639999779,None,l,0.09608129999833182,0.009807859983993694,1.0204375599860214,93.58655639999779,None,93.58655639999779,None,94.587441199983,None,94.587441199983,None,94.587441199983,None,94.587441199983,None,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1814,intro,59.94621626046529,
,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.30559029997676,None,96.30559029997676,None,96.30559029997676,None,None,,0.011741059977794066,1.0241834599873982,96.30559029997676,None,96.30559029997676,None,97.3064462999755,None,97.3064462999755,None,97.3064462999755,None,97.3064462999755,None,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1814,intro,59.94621626046529,
,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.92452770000091,None,98.92452770000091,None,98.92452770000091,None,None,,0.009343559999251738,1.0195772599836346,98.92452770000091,None,98.92452770000091,None,99.92538309999509,None,99.92538309999509,None,99.92538309999509,None,99.92538309999509,None,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1814,intro,59.94621626046529,
,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.62685679999413,None,101.62685679999413,None,101.62685679999413,None,None,,0.011476959974970669,1.0071884599747136,101.62685679999413,None,101.62685679999413,None,102.62781639999594,None,102.62781639999594,None,102.62781639999594,None,102.62781639999594,None,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1814,intro,59.94621626046529,
