A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,A2_Blocks.thisRepN,A2_Blocks.thisTrialN,A2_Blocks.thisN,A2_Blocks.thisIndex,A2_trials.thisRepN,A2_trials.thisTrialN,A2_trials.thisN,A2_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,polygon_end.started,polygon_end.stopped,end_text.started,end_text.stopped,polygon_15.started,polygon_15.stopped,descriptionText_15.started,descriptionText_15.stopped,keyPressRun_15.keys,keyPressRun_15.rt,keyPressRun_15.started,keyPressRun_15.stopped,blackProc_2.started,blackProc_2.stopped,greenProc_2.started,greenProc_2.stopped,ProcTarget_2.started,ProcTarget_2.stopped,ProcPicture_2.started,ProcPicture_2.stopped,blackWaitInterTrial_3.started,blackWaitInterTrial_3.stopped,whiteWaitInterTrial_3.started,whiteWaitInterTrial_3.stopped,blackTrial_2.started,blackTrial_2.stopped,whiteTrial_2.started,whiteTrial_2.stopped,TrialPicture_2.started,TrialPicture_2.stopped,keyPressTrial_2.keys,keyPressTrial_2.rt,keyPressTrial_2.started,keyPressTrial_2.stopped,green_2.started,green_2.stopped,red_2.started,red_2.stopped,blackWaitInterTrial_4.started,blackWaitInterTrial_4.stopped,whiteWaitInterTrial_4.started,whiteWaitInterTrial_4.stopped,green_fb_2.started,green_fb_2.stopped,red_fb_2.started,red_fb_2.stopped,fixation_2.started,fixation_2.stopped,fixationImage_2.started,fixationImage_2.stopped,polygon_end_2.started,polygon_end_2.stopped,end_text_2.started,end_text_2.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,date,Experiment Mode,frameRate,
0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.60144799994305,None,65.60144799994305,None,65.60144799994305,None,None,0.01239071972668171,1.0232830196619034,65.60144799994305,None,65.60144799994305,None,66.61892640031874,None,66.61892640031874,None,66.61892640031874,None,66.61892640031874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,a,Male,Right-handed,Without EEG,,False,2020_May_17_0110,intro,59.93543758530538,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.32014680001885,None,68.32014680001885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,a,Male,Right-handed,Without EEG,,False,2020_May_17_0110,intro,59.93543758530538,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.32197300018743,None,70.32197300018743,None,72.35659140022472,None,72.35659140022472,None,space,0.6086265002377331,0.01210035989060998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,a,Male,Right-handed,Without EEG,,False,2020_May_17_0110,intro,59.93543758530538,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,72.97451539989561,None,72.97451539989561,None,72.97451539989561,73.97516370005906,73.95821270020679,74.97588449995965,74.95667510014027,75.96168950013816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.98075530026108,None,75.98075530026108,None,75.98075530026108,None,75.98075530026108,None,79.49717119988054,None,79.49717119988054,None,81.00115989986807,None,81.00115989986807,None,81.00115989986807,None,a,0.22793939989060163,0.008297919761389494,1.0055610197596252,81.00115989986807,None,81.00115989986807,None,81.99928890028968,None,81.99928890028968,None,81.99928890028968,None,81.99928890028968,None,,,,,,,,,a,a,Male,Right-handed,Without EEG,,False,2020_May_17_0110,intro,59.93543758530538,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.80047510005534,None,83.80047510005534,None,83.80047510005534,None,None,,0.012809219304472208,1.0239878194406629,83.80047510005534,None,83.80047510005534,None,84.8181970003061,None,84.8181970003061,None,84.8181970003061,None,84.8181970003061,None,,,,,,,,,a,a,Male,Right-handed,Without EEG,,False,2020_May_17_0110,intro,59.93543758530538,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.61965240025893,None,86.61965240025893,None,86.61965240025893,None,None,,0.012695619370788336,1.0102674197405577,86.61965240025893,None,86.61965240025893,None,87.62042210018262,None,87.62042210018262,None,87.62042210018262,None,87.62042210018262,None,,,,,,,,,a,a,Male,Right-handed,Without EEG,,False,2020_May_17_0110,intro,59.93543758530538,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.32294750027359,None,89.32294750027359,None,89.32294750027359,None,None,,0.011807119939476252,1.022024020086974,89.32294750027359,None,89.32294750027359,None,90.34130570013076,None,90.34130570013076,None,90.34130570013076,None,90.34130570013076,None,,,,,,,,,a,a,Male,Right-handed,Without EEG,,False,2020_May_17_0110,intro,59.93543758530538,
,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.04458309989423,None,92.04458309989423,None,92.04458309989423,None,None,,0.010903120040893555,1.0187132200226188,92.04458309989423,None,92.04458309989423,None,93.05885859997943,None,93.05885859997943,None,93.05885859997943,None,93.05885859997943,None,,,,,,,,,a,a,Male,Right-handed,Without EEG,,False,2020_May_17_0110,intro,59.93543758530538,
,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.66149460012093,None,94.66149460012093,None,94.66149460012093,None,None,,0.011454119812697172,1.0213401201181114,94.66149460012093,None,94.66149460012093,None,95.67802180023864,None,95.67802180023864,None,95.67802180023864,None,95.67802180023864,None,,,,,,,,,a,a,Male,Right-handed,Without EEG,,False,2020_May_17_0110,intro,59.93543758530538,
,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.38275820016861,None,97.38275820016861,None,97.38275820016861,None,None,,0.010206220205873251,1.0187893202528358,97.38275820016861,None,97.38275820016861,None,98.39800760010257,None,98.39800760010257,None,98.39800760010257,None,98.39800760010257,None,,,,,,,,,a,a,Male,Right-handed,Without EEG,,False,2020_May_17_0110,intro,59.93543758530538,
