A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,A2_Blocks.thisRepN,A2_Blocks.thisTrialN,A2_Blocks.thisN,A2_Blocks.thisIndex,A2_trials.thisRepN,A2_trials.thisTrialN,A2_trials.thisN,A2_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.rt,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,polygon_end.started,polygon_end.stopped,end_text.started,end_text.stopped,polygon_15.started,polygon_15.stopped,descriptionText_15.started,descriptionText_15.stopped,keyPressRun_15.keys,keyPressRun_15.rt,keyPressRun_15.started,keyPressRun_15.stopped,blackProc_2.started,blackProc_2.stopped,greenProc_2.started,greenProc_2.stopped,ProcTarget_2.started,ProcTarget_2.stopped,ProcPicture_2.started,ProcPicture_2.stopped,blackWaitInterTrial_3.started,blackWaitInterTrial_3.stopped,whiteWaitInterTrial_3.started,whiteWaitInterTrial_3.stopped,blackTrial_2.started,blackTrial_2.stopped,whiteTrial_2.started,whiteTrial_2.stopped,TrialPicture_2.started,TrialPicture_2.stopped,keyPressTrial_2.keys,keyPressTrial_2.started,keyPressTrial_2.stopped,green_2.started,green_2.stopped,red_2.started,red_2.stopped,blackWaitInterTrial_4.started,blackWaitInterTrial_4.stopped,whiteWaitInterTrial_4.started,whiteWaitInterTrial_4.stopped,green_fb_2.started,green_fb_2.stopped,red_fb_2.started,red_fb_2.stopped,keyPressTrial_2.rt,fixation_2.started,fixation_2.stopped,fixationImage_2.started,fixationImage_2.stopped,polygon_end_2.started,polygon_end_2.stopped,end_text_2.started,end_text_2.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,Audiovisual Cue,date,Experiment Mode,frameRate,
0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.89899129999685,None,74.89899129999685,None,74.89899129999685,None,None,,0.011167649965500459,1.0233347499452066,74.89899129999685,None,74.89899129999685,None,75.89995420002379,None,75.89995420002379,None,75.89995420002379,None,75.89995420002379,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.6012866999954,None,77.6012866999954,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.60311620001448,None,79.60311620001448,None,81.63826860001427,None,81.63826860001427,None,space,27.998855499987258,0.009949999977834523,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,109.62931340001523,None,109.62931340001523,None,109.62931340001523,110.63009300001431,110.61343409999972,111.61434870000812,111.61434870000812,112.61532850001822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.66520340001443,None,112.66520340001443,None,112.66520340001443,None,112.66520340001443,None,116.16834990002098,None,116.16834990002098,None,117.68633789999876,None,117.68633789999876,None,117.68633789999876,None,None,0.007778750004945323,1.016377249994548,117.68633789999876,None,117.68633789999876,None,118.68726330000209,None,118.68726330000209,None,118.68726330000209,None,118.68726330000209,None,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.50545470000361,None,120.50545470000361,None,120.50545470000361,None,None,0.007978949986863881,1.0167381499777548,120.50545470000361,None,120.50545470000361,None,121.50625380000565,None,121.50625380000565,None,121.50625380000565,None,121.50625380000565,None,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.32447140000295,None,123.32447140000295,None,123.32447140000295,None,None,0.012096749996999279,1.025002950016642,123.32447140000295,None,123.32447140000295,None,124.32535700002336,None,124.32535700002336,None,124.32535700002336,None,124.32535700002336,None,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.04359169999952,None,126.04359169999952,None,126.04359169999952,None,None,0.009172349993605167,1.0192184499755967,126.04359169999952,None,126.04359169999952,None,127.04443900001934,None,127.04443900001934,None,127.04443900001934,None,127.04443900001934,None,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.7626680000103,None,128.7626680000103,None,128.7626680000103,None,None,0.011934850044781342,1.0248274500481784,128.7626680000103,None,128.7626680000103,None,129.76356210000813,None,129.76356210000813,None,129.76356210000813,None,129.76356210000813,None,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.36483970002155,None,131.36483970002155,None,131.36483970002155,None,l,0.012645449984120205,1.009449949982809,131.36483970002155,None,131.36483970002155,None,132.36579670000356,None,132.36579670000356,None,132.36579670000356,None,132.36579670000356,None,0.10556240001460537,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.08385750002344,None,134.08385750002344,None,134.08385750002344,None,None,0.011072549968957901,1.022824749990832,134.08385750002344,None,134.08385750002344,None,135.08468150001136,None,135.08468150001136,None,135.08468150001136,None,135.08468150001136,None,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
