A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,A2_Blocks.thisRepN,A2_Blocks.thisTrialN,A2_Blocks.thisN,A2_Blocks.thisIndex,A2_trials.thisRepN,A2_trials.thisTrialN,A2_trials.thisN,A2_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,polygon_end.started,polygon_end.stopped,end_text.started,end_text.stopped,polygon_15.started,polygon_15.stopped,descriptionText_15.started,descriptionText_15.stopped,keyPressRun_15.keys,keyPressRun_15.rt,keyPressRun_15.started,keyPressRun_15.stopped,blackProc_2.started,blackProc_2.stopped,greenProc_2.started,greenProc_2.stopped,ProcTarget_2.started,ProcTarget_2.stopped,ProcPicture_2.started,ProcPicture_2.stopped,blackWaitInterTrial_3.started,blackWaitInterTrial_3.stopped,whiteWaitInterTrial_3.started,whiteWaitInterTrial_3.stopped,blackTrial_2.started,blackTrial_2.stopped,whiteTrial_2.started,whiteTrial_2.stopped,TrialPicture_2.started,TrialPicture_2.stopped,keyPressTrial_2.keys,keyPressTrial_2.started,keyPressTrial_2.stopped,green_2.started,green_2.stopped,red_2.started,red_2.stopped,blackWaitInterTrial_4.started,blackWaitInterTrial_4.stopped,whiteWaitInterTrial_4.started,whiteWaitInterTrial_4.stopped,green_fb_2.started,green_fb_2.stopped,red_fb_2.started,red_fb_2.stopped,fixation_2.started,fixation_2.stopped,fixationImage_2.started,fixationImage_2.stopped,polygon_end_2.started,polygon_end_2.stopped,end_text_2.started,end_text_2.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,date,Experiment Mode,frameRate,
0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.4170920997858,None,66.4170920997858,None,66.4170920997858,None,None,0.012198680080473423,1.0230465801432729,66.4170920997858,None,66.4170920997858,None,67.43391310004517,None,67.43391310004517,None,67.43391310004517,None,67.43391310004517,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.13465999998152,None,69.13465999998152,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.13723640004173,None,71.13723640004173,None,73.161700299941,None,73.161700299941,None,space,54.43125859973952,0.005079859867691994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,127.60284639988095,None,127.60284639988095,None,127.60284639988095,128.62073910003528,128.58466399973258,129.59200929990038,129.59200929990038,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.61619880003855,None,130.61619880003855,None,130.61619880003855,None,130.61619880003855,None,134.1252246000804,None,134.1252246000804,None,135.6289726998657,None,135.6289726998657,None,135.6289726998657,None,None,0.009308879729360342,1.0173686798661947,135.6289726998657,None,135.6289726998657,None,136.64424369996414,None,136.64424369996414,None,136.64424369996414,None,136.64424369996414,None,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.4488812997006,None,138.4488812997006,None,138.4488812997006,None,None,0.01115087978541851,1.0194702800363302,138.4488812997006,None,138.4488812997006,None,139.4614943000488,None,139.4614943000488,None,139.4614943000488,None,139.4614943000488,None,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.2815081998706,None,141.2815081998706,None,141.2815081998706,None,None,0.012428579851984978,1.038775379769504,141.2815081998706,None,141.2815081998706,None,142.29941010009497,None,142.29941010009497,None,142.29941010009497,None,142.29941010009497,None,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.00140119995922,None,144.00140119995922,None,144.00140119995922,None,None,0.01194107998162508,1.0225580795668066,144.00140119995922,None,144.00140119995922,None,145.01865029986948,None,145.01865029986948,None,145.01865029986948,None,145.01865029986948,None,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.72028019977733,None,146.72028019977733,None,146.72028019977733,None,None,0.012034079525619745,1.0091329794377089,146.72028019977733,None,146.72028019977733,None,147.72111029969528,None,147.72111029969528,None,147.72111029969528,None,147.72111029969528,None,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.32165289996192,None,149.32165289996192,None,149.32165289996192,None,None,0.012712580151855946,1.0239610797725618,149.32165289996192,None,149.32165289996192,None,150.33784999977797,None,150.33784999977797,None,150.33784999977797,None,150.33784999977797,None,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.04190139984712,None,152.04190139984712,None,152.04190139984712,None,None,0.012401179876178503,1.0234232801012695,152.04190139984712,None,152.04190139984712,None,153.0583333997056,None,153.0583333997056,None,153.0583333997056,None,153.0583333997056,None,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.76011139992625,None,154.76011139992625,None,154.76011139992625,None,None,0.012392679695039988,1.0236093797720969,154.76011139992625,None,154.76011139992625,None,155.77796219987795,None,155.77796219987795,None,155.77796219987795,None,155.77796219987795,None,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.5799711998552,None,157.5799711998552,None,157.5799711998552,None,None,0.011821679770946503,1.0227856799028814,157.5799711998552,None,157.5799711998552,None,158.60013859998435,None,158.60013859998435,None,158.60013859998435,None,158.60013859998435,None,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.33166369982064,None,160.33166369982064,None,160.33166369982064,None,None,0.011427979450672865,1.038243379443884,160.33166369982064,None,160.33166369982064,None,161.3506736997515,None,161.3506736997515,None,161.3506736997515,None,161.3506736997515,None,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.9528016000986,None,162.9528016000986,None,162.9528016000986,None,None,0.010708579793572426,1.0198424798436463,162.9528016000986,None,162.9528016000986,None,163.9681975999847,None,163.9681975999847,None,163.9681975999847,None,163.9681975999847,None,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.67202519997954,None,165.67202519997954,None,165.67202519997954,None,None,0.011198179330676794,1.0209945794194937,165.67202519997954,None,165.67202519997954,None,166.68698940007016,None,166.68698940007016,None,166.68698940007016,None,166.68698940007016,None,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
,,,,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.2890928001143,None,168.2890928001143,None,168.2890928001143,None,None,0.012291679624468088,1.0233085798099637,168.2890928001143,None,168.2890928001143,None,169.30749379983172,None,169.30749379983172,None,169.30749379983172,None,169.30749379983172,None,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
