A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,A2_Blocks.thisRepN,A2_Blocks.thisTrialN,A2_Blocks.thisN,A2_Blocks.thisIndex,A2_trials.thisRepN,A2_trials.thisTrialN,A2_trials.thisN,A2_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,keyPressTrial_1.rt,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,polygon_end.started,polygon_end.stopped,end_text.started,end_text.stopped,polygon_15.started,polygon_15.stopped,descriptionText_15.started,descriptionText_15.stopped,keyPressRun_15.keys,keyPressRun_15.rt,keyPressRun_15.started,keyPressRun_15.stopped,blackProc_2.started,blackProc_2.stopped,greenProc_2.started,greenProc_2.stopped,ProcTarget_2.started,ProcTarget_2.stopped,ProcPicture_2.started,ProcPicture_2.stopped,blackWaitInterTrial_3.started,blackWaitInterTrial_3.stopped,whiteWaitInterTrial_3.started,whiteWaitInterTrial_3.stopped,blackTrial_2.started,blackTrial_2.stopped,whiteTrial_2.started,whiteTrial_2.stopped,TrialPicture_2.started,TrialPicture_2.stopped,keyPressTrial_2.keys,keyPressTrial_2.rt,keyPressTrial_2.started,keyPressTrial_2.stopped,green_2.started,green_2.stopped,red_2.started,red_2.stopped,blackWaitInterTrial_4.started,blackWaitInterTrial_4.stopped,whiteWaitInterTrial_4.started,whiteWaitInterTrial_4.stopped,green_fb_2.started,green_fb_2.stopped,red_fb_2.started,red_fb_2.stopped,fixation_2.started,fixation_2.stopped,fixationImage_2.started,fixationImage_2.stopped,polygon_end_2.started,polygon_end_2.stopped,end_text_2.started,end_text_2.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,date,Experiment Mode,frameRate,
0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.90164869977161,None,65.90164869977161,None,65.90164869977161,None,l,0.01218722015619278,1.0086465198546648,65.90164869977161,None,65.90164869977161,None,66.90253899991512,None,66.90253899991512,None,66.90253899991512,None,66.90253899991512,None,0.3043002998456359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_16_2355,intro,59.930911732846674,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.60401619970798,None,68.60401619970798,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_16_2355,intro,59.930911732846674,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.60576279973611,None,70.60576279973611,None,72.6408667000942,None,72.6408667000942,None,space,4.887008199933916,0.005540939979255199,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_16_2355,intro,59.930911732846674,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,77.5284044998698,None,77.5284044998698,None,77.5284044998698,78.52928629983217,78.512608199846,79.5134986997582,79.5134986997582,80.51436539972201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.54773199977353,None,80.54773199977353,None,80.54773199977353,None,80.54773199977353,None,84.05078190006316,None,84.05078190006316,None,85.56876719975844,None,85.56876719975844,None,85.56876719975844,None,a,0.5850253002718091,0.007530519738793373,1.0159500194713473,85.56876719975844,None,85.56876719975844,None,86.56961270002648,None,86.56961270002648,None,86.56961270002648,None,86.56961270002648,None,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_16_2355,intro,59.930911732846674,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.37117950012907,None,88.37117950012907,None,88.37117950012907,None,a,0.5863414001651108,0.011952719651162624,1.0080923195928335,88.37117950012907,None,88.37117950012907,None,89.37204860011116,None,89.37204860011116,None,89.37204860011116,None,89.37204860011116,None,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_16_2355,intro,59.930911732846674,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.19031419977546,None,91.19031419977546,None,91.19031419977546,None,a,0.3819384998641908,0.010043419431895018,1.0209501194767654,91.19031419977546,None,91.19031419977546,None,92.19119729986414,None,92.19119729986414,None,92.19119729986414,None,92.19119729986414,None,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_16_2355,intro,59.930911732846674,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.90939519973472,None,93.90939519973472,None,93.90939519973472,None,a,0.6876564999110997,0.010710219386965036,1.022331319283694,93.90939519973472,None,93.90939519973472,None,94.91019929992035,None,94.91019929992035,None,94.91019929992035,None,94.91019929992035,None,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_16_2355,intro,59.930911732846674,
,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.61173549992964,None,96.61173549992964,None,96.61173549992964,None,a,0.4016950000077486,0.011755620129406452,1.00771891977638,96.61173549992964,None,96.61173549992964,None,97.61252099974081,None,97.61252099974081,None,97.61252099974081,None,97.61252099974081,None,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_16_2355,intro,59.930911732846674,
,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.21391499973834,None,99.21391499973834,None,99.21391499973834,None,None,,0.011360919568687677,1.0069562192074955,99.21391499973834,None,99.21391499973834,None,100.21480119973421,None,100.21480119973421,None,100.21480119973421,None,100.21480119973421,None,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_16_2355,intro,59.930911732846674,
,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.91630059992895,None,101.91630059992895,None,101.91630059992895,None,l,0.3781973998993635,0.01281171990558505,1.009857919998467,101.91630059992895,None,101.91630059992895,None,102.91714480007067,None,102.91714480007067,None,102.91714480007067,None,102.91714480007067,None,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_16_2355,intro,59.930911732846674,
