A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,A2_Blocks.thisRepN,A2_Blocks.thisTrialN,A2_Blocks.thisN,A2_Blocks.thisIndex,A2_trials.thisRepN,A2_trials.thisTrialN,A2_trials.thisN,A2_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.rt,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,polygon_end.started,polygon_end.stopped,end_text.started,end_text.stopped,polygon_15.started,polygon_15.stopped,descriptionText_15.started,descriptionText_15.stopped,keyPressRun_15.keys,keyPressRun_15.rt,keyPressRun_15.started,keyPressRun_15.stopped,blackProc_2.started,blackProc_2.stopped,greenProc_2.started,greenProc_2.stopped,ProcTarget_2.started,ProcTarget_2.stopped,ProcPicture_2.started,ProcPicture_2.stopped,blackWaitInterTrial_3.started,blackWaitInterTrial_3.stopped,whiteWaitInterTrial_3.started,whiteWaitInterTrial_3.stopped,blackTrial_2.started,blackTrial_2.stopped,whiteTrial_2.started,whiteTrial_2.stopped,TrialPicture_2.started,TrialPicture_2.stopped,keyPressTrial_2.keys,keyPressTrial_2.rt,keyPressTrial_2.started,keyPressTrial_2.stopped,green_2.started,green_2.stopped,red_2.started,red_2.stopped,blackWaitInterTrial_4.started,blackWaitInterTrial_4.stopped,whiteWaitInterTrial_4.started,whiteWaitInterTrial_4.stopped,green_fb_2.started,green_fb_2.stopped,red_fb_2.started,red_fb_2.stopped,fixation_2.started,fixation_2.stopped,fixationImage_2.started,fixationImage_2.stopped,polygon_end_2.started,polygon_end_2.stopped,end_text_2.started,end_text_2.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,date,Experiment Mode,frameRate,
0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.26990219997242,None,65.26990219997242,None,65.26990219997242,None,None,,0.011333410162478685,1.0055277100764215,65.26990219997242,None,65.26990219997242,None,66.27132860012352,None,66.27132860012352,None,66.27132860012352,None,66.27132860012352,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1846,intro,59.94136548201604,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.97379019996151,None,67.97379019996151,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1846,intro,59.94136548201604,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.97563130035996,None,69.97563130035996,None,71.9958850000985,None,71.9958850000985,None,space,8.155502299778163,0.008863819763064384,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1846,intro,59.94136548201604,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,80.16804530005902,None,80.16804530005902,None,80.16804530005902,81.18395420024171,81.14940380025655,82.15308850025758,82.15308850025758,83.15364200016484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.17482440033928,None,83.17482440033928,None,83.17482440033928,None,83.17482440033928,None,86.68987740017474,None,86.68987740017474,None,88.19482559990138,None,88.19482559990138,None,88.19482559990138,None,a,0.36393210012465715,0.0075255101546645164,1.0155615098774433,88.19482559990138,None,88.19482559990138,None,89.20906340004876,None,89.20906340004876,None,89.20906340004876,None,89.20906340004876,None,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1846,intro,59.94136548201604,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.01138120004907,None,91.01138120004907,None,91.01138120004907,None,None,,0.010065609589219093,1.0040881093591452,91.01138120004907,None,91.01138120004907,None,92.01173580018803,None,92.01173580018803,None,92.01173580018803,None,92.01173580018803,None,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1846,intro,59.94136548201604,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.81222830014303,None,93.81222830014303,None,93.81222830014303,None,None,,0.013122410047799349,1.0105767101049423,93.81222830014303,None,93.81222830014303,None,94.8142874003388,None,94.8142874003388,None,94.8142874003388,None,94.8142874003388,None,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1846,intro,59.94136548201604,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.51593470014632,None,96.51593470014632,None,96.51593470014632,None,None,,0.011557810008525848,1.0074803098104894,96.51593470014632,None,96.51593470014632,None,97.51656090002507,None,97.51656090002507,None,97.51656090002507,None,97.51656090002507,None,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1846,intro,59.94136548201604,
,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.21826070034876,None,99.21826070034876,None,99.21826070034876,None,None,,0.01056261034682393,1.005169210024178,99.21826070034876,None,99.21826070034876,None,100.21848249994218,None,100.21848249994218,None,100.21848249994218,None,100.21848249994218,None,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1846,intro,59.94136548201604,
,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.8190520000644,None,101.8190520000644,None,101.8190520000644,None,a,0.029052899684756994,0.01240770984441042,1.009270709939301,101.8190520000644,None,101.8190520000644,None,102.8213549000211,None,102.8213549000211,None,102.8213549000211,None,102.8213549000211,None,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1846,intro,59.94136548201604,
,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.52311430033296,None,104.52311430033296,None,104.52311430033296,None,None,,0.012264209799468517,1.008982709608972,104.52311430033296,None,104.52311430033296,None,105.52379370015115,None,105.52379370015115,None,105.52379370015115,None,105.52379370015115,None,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1846,intro,59.94136548201604,
