A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,A2_Blocks.thisRepN,A2_Blocks.thisTrialN,A2_Blocks.thisN,A2_Blocks.thisIndex,A2_trials.thisRepN,A2_trials.thisTrialN,A2_trials.thisN,A2_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.rt,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,polygon_end.started,polygon_end.stopped,end_text.started,end_text.stopped,polygon_15.started,polygon_15.stopped,descriptionText_15.started,descriptionText_15.stopped,keyPressRun_15.keys,keyPressRun_15.rt,keyPressRun_15.started,keyPressRun_15.stopped,blackProc_2.started,blackProc_2.stopped,greenProc_2.started,greenProc_2.stopped,ProcTarget_2.started,ProcTarget_2.stopped,ProcPicture_2.started,ProcPicture_2.stopped,blackWaitInterTrial_3.started,blackWaitInterTrial_3.stopped,whiteWaitInterTrial_3.started,whiteWaitInterTrial_3.stopped,blackTrial_2.started,blackTrial_2.stopped,whiteTrial_2.started,whiteTrial_2.stopped,TrialPicture_2.started,TrialPicture_2.stopped,keyPressTrial_2.keys,keyPressTrial_2.started,keyPressTrial_2.stopped,green_2.started,green_2.stopped,red_2.started,red_2.stopped,blackWaitInterTrial_4.started,blackWaitInterTrial_4.stopped,whiteWaitInterTrial_4.started,whiteWaitInterTrial_4.stopped,green_fb_2.started,green_fb_2.stopped,red_fb_2.started,red_fb_2.stopped,fixation_2.started,fixation_2.stopped,fixationImage_2.started,fixationImage_2.stopped,polygon_end_2.started,polygon_end_2.stopped,end_text_2.started,end_text_2.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,date,Experiment Mode,frameRate,
0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.81721669994295,None,66.81721669994295,None,66.81721669994295,None,None,,0.011063480284065008,1.0062986803241074,66.81721669994295,None,66.81721669994295,None,67.81675919983536,None,67.81675919983536,None,67.81675919983536,None,67.81675919983536,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_17_1706,intro,59.99300483221283,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.5180688998662,None,69.5180688998662,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_17_1706,intro,59.99300483221283,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.52026279969141,None,71.52026279969141,None,73.54107779962942,None,73.54107779962942,None,space,2.1345851002261043,0.009038359858095646,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_17_1706,intro,59.99300483221283,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,75.69044589996338,None,75.69044589996338,None,75.69044589996338,76.7078324998729,76.6720642996952,77.67545619979501,77.67545619979501,78.67620239965618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.69645759975538,None,78.69645759975538,None,78.69645759975538,None,78.69645759975538,None,82.19598339963704,None,82.19598339963704,None,83.70118799991906,None,83.70118799991906,None,83.70118799991906,None,None,0.008898880332708359,1.0163130802102387,83.70118799991906,None,83.70118799991906,None,84.71534389955923,None,84.71534389955923,None,84.71534389955923,None,84.71534389955923,None,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_17_1706,intro,59.99300483221283,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.51763329980895,None,86.51763329980895,None,86.51763329980895,None,None,0.01188027998432517,1.0223590801469982,86.51763329980895,None,86.51763329980895,None,87.53447349974886,None,87.53447349974886,None,87.53447349974886,None,87.53447349974886,None,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_17_1706,intro,59.99300483221283,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.33650879980996,None,89.33650879980996,None,89.33650879980996,None,None,0.012631679885089397,1.0242622797377408,89.33650879980996,None,89.33650879980996,None,90.35447739996016,None,90.35447739996016,None,90.35447739996016,None,90.35447739996016,None,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_17_1706,intro,59.99300483221283,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0713667999953,None,92.0713667999953,None,92.0713667999953,None,None,0.012708680238574743,1.0267724799923599,92.0713667999953,None,92.0713667999953,None,93.07314449967816,None,93.07314449967816,None,93.07314449967816,None,93.07314449967816,None,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_17_1706,intro,59.99300483221283,
,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.77469759993255,None,94.77469759993255,None,94.77469759993255,None,None,0.01200987957417965,1.0223094797693193,94.77469759993255,None,94.77469759993255,None,95.79134039999917,None,95.79134039999917,None,95.79134039999917,None,95.79134039999917,None,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_17_1706,intro,59.99300483221283,
,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.3950092997402,None,97.3950092997402,None,97.3950092997402,None,None,0.011435880325734615,1.0212440802715719,97.3950092997402,None,97.3950092997402,None,98.41031909966841,None,98.41031909966841,None,98.41031909966841,None,98.41031909966841,None,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_17_1706,intro,59.99300483221283,
,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.11184959998354,None,100.11184959998354,None,100.11184959998354,None,None,0.01245807996019721,1.0236038803122938,100.11184959998354,None,100.11184959998354,None,101.12931169988587,None,101.12931169988587,None,101.12931169988587,None,101.12931169988587,None,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_17_1706,intro,59.99300483221283,
